...1,A_YEAR,C_COW_ALPHA,D_INTERVIEW,Q260,X003R,Q275R,Q112,Q113,Q114,Q115,Q116,Q117,Country Code,Country Name,GDP,FDI,GDPgr,Oilrents,Taxrevenue,ControlCorruption,CPIA
22,2020,CAN,124070025,1,6,2,7,2,2,1,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
23,2020,CAN,124070026,1,2,3,5,3,3,3,3,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
24,2020,CAN,124070027,1,3,2,5,3,3,3,3,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
25,2020,CAN,124070028,2,2,2,7,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
26,2020,CAN,124070029,1,2,2,8,3,2,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
27,2020,CAN,124070030,1,6,3,4,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
28,2020,CAN,124070031,2,1,2,7,2,3,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
29,2020,CAN,124070032,1,6,2,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
30,2020,CAN,124070033,1,3,3,10,4,3,4,4,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
31,2020,CAN,124070034,1,4,3,8,2,3,2,1,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
32,2020,CAN,124070035,1,3,2,10,4,3,3,2,4,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
33,2020,CAN,124070036,2,4,3,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
34,2020,CAN,124070037,2,2,2,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
35,2020,CAN,124070038,1,3,3,7,3,3,2,3,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
36,2020,CAN,124070039,1,2,2,7,1,2,3,2,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
37,2020,CAN,124070040,2,3,2,5,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
38,2020,CAN,124070041,2,2,2,5,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
39,2020,CAN,124070042,2,5,3,5,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
40,2020,CAN,124070043,2,1,3,6,1,2,1,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
41,2020,CAN,124070045,1,2,2,5,3,3,3,3,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
42,2020,CAN,124070046,1,3,3,7,3,2,3,3,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
43,2020,CAN,124070047,2,2,2,8,3,3,3,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
44,2020,CAN,124070048,2,3,2,10,3,3,3,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
45,2020,CAN,124070049,2,2,3,5,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
46,2020,CAN,124070050,2,4,2,5,3,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
47,2020,CAN,124070051,1,1,3,7,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
48,2020,CAN,124070053,1,4,3,4,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
49,2020,CAN,124070054,2,2,3,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
50,2020,CAN,124070055,2,3,3,5,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
51,2020,CAN,124070056,1,3,3,7,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
52,2020,CAN,124070057,1,5,2,9,1,2,1,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
53,2020,CAN,124070058,1,2,3,2,2,2,1,1,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
54,2020,CAN,124070059,1,3,3,7,2,3,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
55,2020,CAN,124070060,1,4,1,5,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
56,2020,CAN,124070061,1,3,3,5,2,3,2,3,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
57,2020,CAN,124070062,1,6,2,10,3,3,3,3,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
58,2020,CAN,124070063,1,5,3,2,1,1,1,1,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
59,2020,CAN,124070064,1,2,3,5,2,4,3,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
60,2020,CAN,124070066,2,2,3,5,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
61,2020,CAN,124070067,2,1,3,8,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
62,2020,CAN,124070068,1,4,1,8,3,3,2,2,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
63,2020,CAN,124070069,2,3,3,5,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
64,2020,CAN,124070070,1,1,3,9,3,2,3,3,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
65,2020,CAN,124070071,1,6,3,9,3,3,3,3,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
66,2020,CAN,124070072,1,6,2,8,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
67,2020,CAN,124070073,2,3,3,7,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
68,2020,CAN,124070074,1,2,2,7,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
69,2020,CAN,124070100,1,3,1,10,3,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
70,2020,CAN,124070101,1,5,1,7,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
71,2020,CAN,124070102,2,6,3,9,3,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
72,2020,CAN,124070104,1,2,3,7,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
73,2020,CAN,124070106,2,2,3,5,3,2,3,3,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
74,2020,CAN,124070108,2,2,3,5,2,2,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
75,2020,CAN,124070109,2,3,3,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
76,2020,CAN,124070111,1,2,3,9,1,3,1,2,4,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
77,2020,CAN,124070112,1,4,2,7,3,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
78,2020,CAN,124070113,1,2,1,6,1,3,1,1,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
79,2020,CAN,124070114,1,3,3,5,2,2,1,1,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
80,2020,CAN,124070115,1,1,3,9,3,2,2,3,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
81,2020,CAN,124070117,1,3,2,8,4,2,1,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
82,2020,CAN,124070119,2,2,3,3,1,2,2,2,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
83,2020,CAN,124070120,2,6,3,7,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
84,2020,CAN,124070121,2,2,2,5,1,1,1,1,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
85,2020,CAN,124070122,2,4,1,7,1,1,1,1,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
86,2020,CAN,124070123,2,2,3,8,2,3,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
87,2020,CAN,124070125,1,3,2,4,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
88,2020,CAN,124070126,1,5,1,10,3,3,2,3,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
89,2020,CAN,124070127,2,4,3,2,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
90,2020,CAN,124070128,2,4,3,8,3,3,3,3,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
91,2020,CAN,124070129,2,2,3,4,3,2,2,3,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
92,2020,CAN,124070130,1,4,3,2,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
93,2020,CAN,124070131,1,2,2,5,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
94,2020,CAN,124070132,2,2,3,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
95,2020,CAN,124070133,2,3,3,6,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
96,2020,CAN,124070134,2,2,2,9,4,3,4,4,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
97,2020,CAN,124070136,1,2,3,7,3,2,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
98,2020,CAN,124070137,1,4,3,4,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
99,2020,CAN,124070138,2,1,3,3,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
100,2020,CAN,124070139,1,3,3,3,3,3,3,3,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
101,2020,CAN,124070140,2,2,2,2,3,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
102,2020,CAN,124070141,2,6,2,8,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
103,2020,CAN,124070142,2,4,2,8,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
104,2020,CAN,124070143,2,2,2,7,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
105,2020,CAN,124070144,1,4,2,9,3,3,3,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
106,2020,CAN,124070145,2,6,2,8,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
107,2020,CAN,124070146,1,4,3,6,2,3,1,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
108,2020,CAN,124070147,1,1,2,5,2,3,1,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
109,2020,CAN,124070148,2,2,3,9,3,4,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
110,2020,CAN,124070150,2,4,2,5,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
111,2020,CAN,124070151,1,2,2,10,2,4,4,1,4,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
112,2020,CAN,124070152,2,3,2,7,3,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
113,2020,CAN,124070153,1,2,3,8,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
114,2020,CAN,124070154,2,6,3,7,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
115,2020,CAN,124070155,2,1,2,6,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
116,2020,CAN,124070156,2,4,3,7,2,2,3,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
117,2020,CAN,124070158,1,2,3,8,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
118,2020,CAN,124070159,2,2,2,9,2,3,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
119,2020,CAN,124070160,2,4,1,8,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
120,2020,CAN,124070161,2,1,2,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
121,2020,CAN,124070162,2,1,2,7,3,3,3,3,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
122,2020,CAN,124070163,2,2,3,7,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
123,2020,CAN,124070164,2,2,1,5,3,2,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
124,2020,CAN,124070166,1,4,3,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
125,2020,CAN,124070169,2,3,3,5,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
126,2020,CAN,124070171,1,1,2,5,2,2,3,3,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
127,2020,CAN,124070172,2,2,3,5,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
128,2020,CAN,124070173,2,6,2,4,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
129,2020,CAN,124070174,2,2,3,4,2,2,2,2,4,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
130,2020,CAN,124070175,1,2,3,7,3,2,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
131,2020,CAN,124070176,1,4,3,7,2,2,2,3,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
132,2020,CAN,124070177,2,3,3,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
133,2020,CAN,124070178,1,1,2,5,3,2,3,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
134,2020,CAN,124070179,2,6,1,10,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
135,2020,CAN,124070180,1,5,2,8,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
136,2020,CAN,124070181,2,3,3,7,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
137,2020,CAN,124070182,2,2,3,7,3,2,2,2,4,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
138,2020,CAN,124070183,2,5,2,9,2,2,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
139,2020,CAN,124070184,2,4,3,10,3,3,1,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
140,2020,CAN,124070185,1,6,3,9,3,4,3,3,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
141,2020,CAN,124070186,1,6,2,10,2,2,1,1,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
142,2020,CAN,124070187,1,5,3,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
143,2020,CAN,124070189,1,6,2,7,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
144,2020,CAN,124070190,2,2,3,7,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
145,2020,CAN,124070191,2,5,2,7,2,2,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
146,2020,CAN,124070192,1,5,2,10,4,3,2,1,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
147,2020,CAN,124070193,1,5,3,7,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
148,2020,CAN,124070194,1,2,3,10,2,2,2,2,4,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
149,2020,CAN,124070195,1,6,3,8,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
150,2020,CAN,124070196,2,5,3,6,3,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
151,2020,CAN,124070197,2,3,3,8,3,3,3,3,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
152,2020,CAN,124070198,1,6,2,8,3,3,3,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
153,2020,CAN,124070199,1,6,2,8,2,2,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
154,2020,CAN,124070201,1,3,3,9,2,2,2,2,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
155,2020,CAN,124070202,2,4,3,6,2,2,1,1,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
156,2020,CAN,124070203,1,5,3,5,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
157,2020,CAN,124070205,1,2,2,8,2,3,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
158,2020,CAN,124070206,2,6,3,10,2,2,1,2,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
159,2020,CAN,124070207,2,6,3,7,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
160,2020,CAN,124070208,1,2,2,5,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
161,2020,CAN,124070209,1,5,2,8,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
162,2020,CAN,124070210,1,4,2,10,3,2,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
163,2020,CAN,124070211,1,3,2,7,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
164,2020,CAN,124070212,1,1,1,5,3,3,3,3,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
165,2020,CAN,124070213,2,6,3,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
166,2020,CAN,124070214,1,6,2,10,2,2,2,2,1,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
167,2020,CAN,124070215,2,6,2,6,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
168,2020,CAN,124070216,2,2,2,7,3,3,2,3,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
169,2020,CAN,124070217,2,6,2,9,3,3,2,3,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
170,2020,CAN,124070218,1,6,1,6,2,2,2,4,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
171,2020,CAN,124070219,1,2,3,4,2,2,2,2,3,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
172,2020,CAN,124070223,2,5,2,5,2,2,2,2,2,CAN,Canada,1.65568E+12,1.758970857,-5.038233435,0.888908482,13.50333209,1.56571281,..
